type,chapter,section_title,title,text,image,category,accent
item,9,,,"市民運動で遺骨収容という難しいプロジェクトを成し遂げられた背景には、地域の人々の思いや理解も多くあると思います。
地元宇部では人々が「おばあちゃんからアイゴーと坑口の前で泣く家族のことを聞いてきた。」「あの海で泳いではいけない」という風に事故を記憶していました。
その背景には、学校との連携や紙芝居を作ったりなど地域で事故を知らせてきた刻む会の長い取り組みがあります",,,#f59e0b
intro,10,,日本政府の対応と責任,,,,#f59e0b
item,10,,,"　国は、戦没者遺骨収容推進法に基づき遺骨収集やＤＮＡ鑑定のために毎年約１０００万円の予算が計上されています。
　しかし、戦没者とは「戦闘行為での犠牲者」で、長生炭鉱の犠牲者は該当しないという立場をとっており、また位置も深度も不明であり、海底坑道の安全性が不明という理由で刻む会の支援要請を聞かず、調査も行ってきませんでした。
",,,#f59e0b
item,10,,,"そのような政府の対応に対して、民間で遺骨の所在、調査の安全性を示すというのが刻む会が進めてきた運動でした。
2025年の石破首相が国会答弁
2026年には日韓首脳会談をへて高市首相が遺骨のDNA鑑定を日韓共同で進めることに言及
その後には厚労省による現地視察も行われました。
民間による遺骨を収容したという事実がこうした動きを後押ししました。
日本国内では世論的にも厳しい現状があるこうした日本の戦時中の加害に関連する問題で、こうした政府を巻き込んだ前進を見せるのはとても珍しいです。
（しかし一方で、直近に開かれた２月の追悼集会には、日本政府からは、参席はおろか、追悼のメッセージも寄せられなかった。）",,,#f59e0b
item,10,,,"「朝鮮炭鉱」とも呼ばれるほど、労働者の大部分を朝鮮の人々に依存し、「安価な労働力」を踏み台に成長した企業があり、そこが国策による石炭の増産体制を背景にして重大な事故を引き起こした。
そこには日本による植民地支配と搾取の構造が集約されています。
また、長生炭鉱には確実に、多くの犠牲者の遺骨があり、帰りを待つ遺族の方たちがいます。
坑口を開けて遺骨を収容するというのは本来は民間で実現できる枠をすでに大きく超えています。
日本政府はこの問題に取り組む責任があると同時に、戦争を行うことが誰を犠牲にするのかを社会全体で考える必要があります。",,,#f59e0b
intro,11,,まとめ,,,,#f59e0b
item,11,,,"日本において、こうした植民地主義、戦時中の加害の問題は全般的に厳しい状況にあります。
そもそもが、当時の加害者たちによって資料や記憶が隠蔽され、消失している中で、市民のとても地道で気の遠くなるような調査や長年の活動から、多くのことがわかっています。",,,#f59e0b
item,11,,,"長生炭鉱でも市民による遺族の掘り起こしから資料調査や地元でのやりとりなど長年丁寧に積み重ねられた運動の結果が、民間での坑口発見と遺骨の収容に結び付きました。
長生炭鉱の歩みは、日本の加害の問題に取り組む他の様々な運動のあり方にも通じる象徴性があると思います。
またその一方で、犠牲者には日本人もおり、「反日」的なフレーミングになりずらく、また地域の中で長生炭鉱での事故に対する認識や記憶が受け継がれていることなど、特異な要素もあります。
日本政府や歴史改悪主義者たちの喧伝に負けず、日本にいて日本の社会の中で地元の様々な声を聞きながら「やるべきこと」をこなし続けている刻む会の取り組みを知ることは、日本の市民運動とつながっていくうえでとても重要であると思います。",,,#f59e0b
item,11,,,また一方で、長生炭鉱の取り組みを支えていたのは市民による募金（クラウドファンディング）でしたが、それも複数回繰り返しており、限界にきているといわれています。今後も継続して活動をしていくには莫大な予算が必要です。,,,#f59e0b
item,11,,,日本政府をより強力に動かすためにも、また刻む会として体制を整えていくにも、日本あるいは朝鮮半島という枠を超えて関心のある人に届けていくことが必要だと思います。,,,#f59e0b
